Transaction_ID,Customer_ID,Name,Email,Address,State,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Total_Purchases,Amount,Total Sales,Product_Category,Product_Brand,Product_Type,Feedback,Payment_Method,Order_Status,Ratings,products
2846832,31930,Kristine Williams,Charles29@gmail.com,60629 Jones Villages,New South Wales,Australia,56,Female,Medium,Regular,1/2/2024,2024,January,10,161.88,1618.79,Grocery,Coca-Cola,Water,Excellent,PayPal,Delivered,5,Bottled water
3217461,74671,Felicia Brown,Laura72@gmail.com,381 Richard Plaza,New South Wales,Australia,53,Female,Medium,Regular,5/7/2023,2023,May,9,350.82,3157.35,Grocery,Nestle,Snacks,Excellent,PayPal,Delivered,4,Fruit snacks
2401331,98300,Andrew Guzman,Eric76@gmail.com,470 Rodriguez Estate Suite 564,New South Wales,Australia,32,Female,High,Regular,11/18/2023,2023,November,6,297.73,1786.36,Clothing,Adidas,T-shirt,Excellent,Cash,Shipped,5,V-neck tee
4969987,64995,Justin Lara,Jacob26@gmail.com,3577 Cole Stream Apt. 351,New South Wales,Australia,43,Male,Medium,Regular,6/15/2023,2023,June,3,23.72,71.17,Books,Random House,Literature,Excellent,Credit Card,Pending,5,Drama
6681000,69939,Jessica Harrison,Anne45@gmail.com,93806 Murphy Avenue Apt. 919,New South Wales,Australia,69,Male,Low,Regular,7/1/2023,2023,July,10,14.73,147.27,Grocery,Pepsi,Water,,Debit Card,Shipped,2,Flavored water
2430572,71803,Alicia Knight,Jennifer1@gmail.com,9856 Meyers Road Apt. 698,New South Wales,Australia,19,Female,High,Regular,4/14/2023,2023,April,3,139.79,419.36,Electronics,Apple,Tablet,Good,Cash,Shipped,3,Samsung Galaxy Tab
7728099,78376,Ronald Chen,Nicole72@gmail.com,6048 Charles Lake,New South Wales,Australia,49,Male,Low,Regular,2/7/2024,2024,February,1,210.14,210.14,Grocery,Coca-Cola,Juice,Excellent,Credit Card,Shipped,5,Orange juice
3489336,40654,Sara Rogers,Jeff99@gmail.com,6048 Charles Knoll Suite 755,New South Wales,Australia,69,Male,Low,Regular,10/24/2023,2023,October,2,469.66,939.32,Home Decor,IKEA,Furniture,,Cash,Shipped,2,Bookshelf
6925572,42165,Daniel Hutchinson,Oscar54@gmail.com,37402 Williams Stream Apt. 779,New South Wales,Australia,46,Male,Low,Regular,3/21/2023,2023,March,6,420.88,2525.25,Grocery,Nestle,Coffee,,PayPal,Processing,2,Affogato
8871554,63914,Joshua Noble,Diana25@gmail.com,7467 Henry Port,New South Wales,Australia,61,Male,High,Regular,8/6/2023,2023,August,4,200.29,801.15,Books,HarperCollins,Non-Fiction,,PayPal,Processing,2,Business
9476855,42410,Anthony Rodriguez,Paula49@gmail.com,585 Malik Lodge Suite 186,New South Wales,Australia,21,Female,Low,Regular,2/3/2024,2024,February,6,34.12,204.75,Books,Penguin Books,Non-Fiction,,PayPal,Processing,2,Self-help
9338306,48869,Ashley Watson,Christine23@gmail.com,6088 Sandra Streets Suite 952,New South Wales,Australia,41,Female,Low,Regular,5/31/2023,2023,May,8,436.61,3492.86,Home Decor,Bed Bath & Beyond,Bathroom,Good,PayPal,Pending,3,Sink
9070447,99870,Timothy Benton,Thomas4@gmail.com,424 Patton Parkways Apt. 545,New South Wales,Australia,38,Male,Medium,Regular,2/27/2024,2024,February,2,285.3,570.6,Grocery,Coca-Cola,Juice,Excellent,PayPal,Processing,5,Grape juice
9082305,47037,Mike Christensen,Olivia95@gmail.com,753 Rachel Lodge Apt. 514,New South Wales,Australia,59,Male,High,Regular,4/20/2023,2023,April,6,75.21,451.26,Home Decor,Bed Bath & Beyond,Kitchen,Excellent,Debit Card,Pending,5,Stove
4725198,28381,Kimberly Evans,Claire78@gmail.com,2445 Clayton Spur,New South Wales,Australia,20,Male,High,Regular,6/3/2023,2023,June,1,173.57,173.57,Electronics,Samsung,Smartphone,Good,PayPal,Shipped,3,Huawei P
5230876,23097,Michael Cole,Rachel75@gmail.com,0777 Rebecca Junctions Apt. 015,New South Wales,Australia,67,Male,Low,Regular,1/7/2024,2024,January,5,471.48,2357.41,Electronics,Apple,Tablet,Excellent,Credit Card,Shipped,5,Amazon Fire Tablet
2459574,42540,Robin Jackson,James3@gmail.com,8306 Daniel Parkways Suite 768,New South Wales,Australia,43,Male,Medium,Regular,4/22/2023,2023,April,8,333.86,2670.88,Home Decor,Home Depot,Decorations,Excellent,Cash,Delivered,5,Curtains
2873384,55388,Yolanda Martin,Emily94@gmail.com,62142 Karen Motorway Apt. 324,New South Wales,Australia,50,Male,Medium,Regular,6/21/2023,2023,June,6,240.23,1441.37,Grocery,Coca-Cola,Juice,Good,Cash,Pending,3,Pomegranate juice
3413296,98256,Steven Boyd,Sheryl18@gmail.com,1719 Christina Heights Apt. 614,New South Wales,Australia,26,Female,Low,Regular,2/6/2024,2024,February,3,159.8,479.41,Clothing,Adidas,Shoes,Good,Debit Card,Pending,3,Running shoes
6408692,90935,Raymond Avila,Christopher4@gmail.com,374 Snyder Forges,New South Wales,Australia,56,Female,Low,Regular,11/26/2023,2023,November,2,147.1,294.2,Books,HarperCollins,Thriller,Good,Debit Card,Processing,3,Political thriller
8973612,65701,Christopher Lopez,Derrick51@gmail.com,57136 Martha Common Apt. 654,New South Wales,Australia,66,Male,Medium,Regular,5/22/2023,2023,May,7,344.68,2412.75,Home Decor,IKEA,Decorations,Excellent,Debit Card,Processing,5,Curtains
5404187,23713,Brent Gonzalez,Steven94@gmail.com,881 Beth Branch,New South Wales,Australia,31,Male,Low,Regular,6/29/2023,2023,June,4,243.64,974.56,Electronics,Samsung,Smartphone,,Cash,Pending,2,Google Pixel
4208526,66911,Anne Dominguez,Christian61@gmail.com,704 Steven Falls,New South Wales,Australia,24,Female,Low,Regular,12/16/2023,2023,December,2,333.7,667.41,Grocery,Nestle,Chocolate,Excellent,Credit Card,Pending,4,Chocolate mousse
1505270,38517,Todd Jackson,Daniel66@gmail.com,85473 Palmer Island Suite 041,New South Wales,Australia,54,Male,Low,Regular,4/10/2023,2023,April,3,322.15,966.44,Home Decor,IKEA,Decorations,Good,PayPal,Delivered,4,Vases
8783109,65305,Jonathan Jenkins,Christina19@gmail.com,890 Brooks Pine,New South Wales,Australia,19,Male,High,Regular,12/12/2023,2023,December,5,195.55,977.76,Clothing,Zara,Shirt,Good,Credit Card,Pending,4,Henley shirt
4579663,31767,Brittany Ross,Lindsey16@gmail.com,61440 Andrew Spurs,New South Wales,Australia,28,Male,High,Regular,2/16/2024,2024,February,9,161.39,1452.49,Books,Penguin Books,Children's,Excellent,Cash,Pending,4,Toys
5992046,30637,Mike Orozco,Kimberly48@gmail.com,8887 Alexander Avenue Apt. 947,New South Wales,Australia,34,Female,High,Regular,2/8/2024,2024,February,7,44.33,310.31,Grocery,Pepsi,Soft Drink,Good,PayPal,Processing,4,Iced tea
2458233,96840,Susan Thomas,Bonnie80@gmail.com,48415 Ferguson Passage,New South Wales,Australia,65,Male,Low,Regular,10/29/2023,2023,October,8,28.83,230.6,Clothing,Adidas,Shoes,Excellent,Credit Card,Pending,4,Running shoes
2055036,25848,Emma Palmer,Lisa7@gmail.com,416 Angel Manors,New South Wales,Australia,40,Male,High,Regular,2/21/2024,2024,February,10,20.53,205.29,Grocery,Coca-Cola,Juice,Excellent,PayPal,Pending,4,Apple juice
4923734,91172,Amanda Decker,Heather92@gmail.com,569 James Heights Suite 460,New South Wales,Australia,64,Female,High,Regular,3/17/2023,2023,March,3,227.43,682.28,Books,Random House,Literature,Good,Debit Card,Pending,4,Drama
3902930,77572,Jose Spencer,Amber67@gmail.com,02936 Roy Village,New South Wales,Australia,68,Female,High,Regular,10/6/2023,2023,October,6,334.17,2004.99,Electronics,Apple,Laptop,Excellent,Debit Card,Shipped,5,Microsoft Surface Laptop
9885863,46361,Priscilla Wiggins,Patricia51@gmail.com,0430 Moody Divide Suite 144,New South Wales,Australia,46,Male,High,Regular,11/5/2023,2023,November,2,141.21,282.43,Home Decor,IKEA,Furniture,Excellent,PayPal,Processing,5,Desk
3239367,62464,Michele Johnson,Melissa70@gmail.com,622 Diana Circle Suite 748,New South Wales,Australia,58,Female,High,Regular,12/14/2023,2023,December,3,312.98,938.93,Clothing,Zara,Dress,,Cash,Delivered,2,Bodycon dress
6047927,74096,Robert Warren,Hannah73@gmail.com,489 Kerr Island,New South Wales,Australia,36,Male,Low,Regular,6/19/2023,2023,June,1,399.79,399.79,Electronics,Sony,Headphones,Good,Credit Card,Pending,4,Sports headphones
1089259,21399,Mario Smith,Joshua69@gmail.com,192 Kimberly Shoals Apt. 984,New South Wales,Australia,57,Male,High,Regular,3/16/2023,2023,March,7,315.63,2209.4,Home Decor,IKEA,Lighting,Excellent,Cash,Pending,5,Pendant lights
6353946,39757,Lauren Hayes,Haley88@gmail.com,726 Eaton Squares,New South Wales,Australia,27,Female,Medium,Regular,7/16/2023,2023,July,8,93,744.03,Home Decor,Home Depot,Decorations,Good,Credit Card,Processing,3,Clocks
8796466,90189,Maria Tucker,Amber14@gmail.com,34455 Foster Coves,New South Wales,Australia,35,Female,Medium,Regular,4/19/2023,2023,April,7,346.72,2427.04,Home Decor,Bed Bath & Beyond,Bedding,Excellent,Credit Card,Delivered,5,Comforter
2545225,86575,Derek Green,Sara74@gmail.com,33744 April Lock,New South Wales,Australia,57,Female,Medium,Regular,9/10/2023,2023,September,6,106.51,639.04,Clothing,Adidas,Jacket,,Credit Card,Pending,2,Peacoat
9051490,19303,Rachel Hobbs,Daniel23@gmail.com,02019 Meyers Ranch Apt. 226,New South Wales,Australia,36,Male,Low,Regular,3/15/2023,2023,March,2,230.88,461.75,Home Decor,Home Depot,Furniture,Excellent,PayPal,Processing,5,Bed
4580441,12911,Chelsea Cummings,Daniel55@gmail.com,336 Sara Run,New South Wales,Australia,69,Male,High,Regular,11/11/2023,2023,November,3,394.61,1183.82,Grocery,Nestle,Chocolate,Excellent,PayPal,Processing,5,White chocolate
9786592,71257,Bryan Edwards,Gregory3@gmail.com,816 Annette Shoals Suite 901,New South Wales,Australia,59,Male,High,Regular,7/25/2023,2023,July,2,281.6,563.2,Electronics,Samsung,Television,,PayPal,Delivered,2,Android TV
6315151,75456,Christopher Burgess,Tonya57@gmail.com,707 Michael View,New South Wales,Australia,38,Female,High,Regular,10/3/2023,2023,October,4,303.79,1215.16,Electronics,Sony,Headphones,Excellent,Cash,Delivered,5,Studio headphones
6857160,50574,James Church,Andrew57@gmail.com,7645 Stewart Mountains,New South Wales,Australia,46,Male,Low,Regular,10/17/2023,2023,October,4,129.76,519.03,Clothing,Nike,Shoes,Excellent,Debit Card,Shipped,5,Sneakers
8523222,81200,Tony Moon,Brandon73@gmail.com,28526 Sanders Spurs,New South Wales,Australia,24,Male,Medium,Regular,6/27/2023,2023,June,4,257.59,1030.35,Electronics,Sony,Headphones,Good,Cash,Processing,4,Studio headphones
6921233,21381,Stanley Quinn,April67@gmail.com,0517 Bernard Forges,New South Wales,Australia,67,Male,Medium,Regular,11/26/2023,2023,November,10,387.55,3875.53,Home Decor,Home Depot,Decorations,,Debit Card,Shipped,2,Sculptures
9658399,71121,Heather Sloan,Taylor13@gmail.com,55047 Ashley Common Apt. 748,New South Wales,Australia,54,Female,High,Regular,2/18/2024,2024,February,10,98,979.97,Grocery,Pepsi,Soft Drink,Excellent,Cash,Shipped,5,Cream soda
3121715,64722,Richard Morales,Elizabeth40@gmail.com,55900 Cassandra Hollow,New South Wales,Australia,68,Male,Medium,Regular,2/22/2024,2024,February,9,291.88,2626.93,Books,Random House,Literature,,Credit Card,Shipped,2,Drama
4021565,59819,Christina Snow,Wendy95@gmail.com,01292 Austin Valleys,New South Wales,Australia,29,Male,Medium,Regular,10/8/2023,2023,October,9,474.83,4273.44,Books,Random House,Non-Fiction,,PayPal,Shipped,2,History
4058513,57742,Lisa Tyler,John63@gmail.com,4289 Reed Shoal Suite 250,New South Wales,Australia,26,Male,Low,Regular,10/11/2023,2023,October,9,93.06,837.56,Home Decor,Bed Bath & Beyond,Kitchen,,Cash,Delivered,2,Stove
8670923,80071,Patricia Reese,Stephanie24@gmail.com,2246 Lindsey Plains,New South Wales,Australia,41,Female,Low,Regular,9/17/2023,2023,September,6,71.19,427.15,Home Decor,Home Depot,Tools,,Debit Card,Pending,2,Pliers
4427458,97683,Dr. Chad Lindsey,Kelsey82@gmail.com,21033 Derrick Motorway,New South Wales,Australia,31,Female,Low,Regular,11/4/2023,2023,November,3,85.16,255.47,Clothing,Nike,Shoes,,Cash,Delivered,2,Oxfords
5532127,51980,Victoria Short,Jessica97@gmail.com,461 Jefferson Avenue Suite 363,New South Wales,Australia,34,Female,High,Regular,6/20/2023,2023,June,9,306.55,2758.91,Books,Random House,Literature,,Cash,Shipped,2,Short stories
6761027,11397,Tracy Baxter,Richard53@gmail.com,88150 Brittany Stravenue,New South Wales,Australia,29,Female,Low,Regular,8/31/2023,2023,August,2,405.45,810.9,Home Decor,Home Depot,Furniture,Good,PayPal,Processing,4,Dining table
9202969,35966,Jennifer Wright,Michael69@gmail.com,9729 Krista Highway,New South Wales,Australia,69,Male,Low,Regular,2/20/2024,2024,February,4,187.09,748.37,Books,HarperCollins,Non-Fiction,Excellent,Cash,Delivered,5,Cooking
5161746,95925,Jesus Cole,Margaret59@gmail.com,100 Jasmine Summit Apt. 567,New South Wales,Australia,58,Male,Medium,Regular,3/12/2023,2023,March,10,313.49,3134.88,Electronics,Sony,Headphones,,Credit Card,Processing,2,Sports headphones
4154386,56726,Scott Sampson II,Zachary50@gmail.com,898 Waters Cliff,New South Wales,Australia,38,Male,Medium,Regular,7/23/2023,2023,July,4,148.71,594.85,Home Decor,IKEA,Decorations,Good,PayPal,Pending,3,Wall art
7509621,87729,Karen Short,Dominique52@gmail.com,751 Larry Greens,New South Wales,Australia,25,Female,Medium,Regular,12/12/2023,2023,December,4,245.19,980.75,Clothing,Zara,Shirt,Good,Credit Card,Delivered,4,Dress shirt
7734668,49952,Joseph Pearson,Brianna8@gmail.com,9460 Kimberly Vista,New South Wales,Australia,26,Female,Medium,Regular,5/6/2023,2023,May,10,59.26,592.62,Books,Random House,Non-Fiction,Excellent,Debit Card,Pending,5,Memoir
9845803,79052,Richard Hodge,Melissa21@gmail.com,41769 Brandt Vista,New South Wales,Australia,57,Female,High,Regular,11/14/2023,2023,November,7,139.88,979.17,Grocery,Coca-Cola,Soft Drink,Excellent,Cash,Shipped,4,Cream soda
9634627,90837,Charles Rogers,Anthony26@gmail.com,49972 Melissa Forges Suite 616,New South Wales,Australia,70,Male,Low,Regular,2/6/2024,2024,February,8,436.75,3494,Electronics,Samsung,Tablet,,PayPal,Delivered,2,Amazon Fire Tablet
9534452,20500,Matthew Hicks,Kara43@gmail.com,51720 Rachael Spurs Suite 283,New South Wales,Australia,61,Female,Medium,Regular,6/6/2023,2023,June,4,201.95,807.81,Clothing,Zara,Dress,,PayPal,Processing,2,Maxi dress
6126111,63629,Mary Lawson,Kelly99@gmail.com,63515 Ross Corner Apt. 945,New South Wales,Australia,37,Female,Low,Regular,3/23/2023,2023,March,9,202.61,1823.48,Electronics,Apple,Laptop,Excellent,Credit Card,Shipped,5,LG Gram
9510333,71053,Suzanne Thompson,Erica91@gmail.com,35786 Bolton Tunnel Suite 882,New South Wales,Australia,34,Female,Medium,Regular,4/8/2023,2023,April,7,405.99,2841.93,Home Decor,Bed Bath & Beyond,Kitchen,Excellent,Cash,Processing,5,Dishwasher
7478681,73823,Sarah Chase,Amber47@gmail.com,324 Jason Station Apt. 372,New South Wales,Australia,19,Female,Medium,Regular,11/23/2023,2023,November,1,249.61,249.61,Grocery,Pepsi,Juice,Excellent,Credit Card,Delivered,5,Cranberry juice
5696111,28956,Christopher Adams,Jason63@gmail.com,905 Kathryn Unions Apt. 574,New South Wales,Australia,43,Female,Low,Regular,8/18/2023,2023,August,3,413.76,1241.29,Books,HarperCollins,Thriller,Good,Debit Card,Delivered,4,Crime
4419654,21444,Robert Perez,Robert89@gmail.com,01641 Williams Mountains Apt. 425,New South Wales,Australia,30,Male,Medium,Regular,10/30/2023,2023,October,4,312.43,1249.71,Home Decor,Bed Bath & Beyond,Bedding,Excellent,Debit Card,Shipped,5,Pillowcase set
4440264,68648,Dennis Johnson,Tom90@gmail.com,37733 John Loop Suite 389,New South Wales,Australia,35,Male,Low,Regular,3/4/2023,2023,March,6,37.41,224.43,Home Decor,Bed Bath & Beyond,Bathroom,,Credit Card,Processing,2,Shower curtain
9711181,50100,Penny Harris,Sarah100@gmail.com,1800 Shannon Highway,New South Wales,Australia,54,Female,Low,Regular,1/13/2024,2024,January,3,279.58,838.75,Electronics,Sony,Smartphone,Good,PayPal,Processing,4,Samsung Galaxy
7757654,65961,Erik Medina,Amanda64@gmail.com,591 Adam Haven Suite 318,New South Wales,Australia,39,Male,High,Regular,7/22/2023,2023,July,8,51.52,412.13,Electronics,Sony,Television,,PayPal,Processing,2,Curved TV
3381958,70067,Ashley Adams,Danielle47@gmail.com,471 Graham Islands Suite 333,New South Wales,Australia,56,Male,High,Regular,7/19/2023,2023,July,8,364.51,2916.11,Electronics,Sony,Headphones,,Cash,Processing,2,DJ headphones
5961798,31581,Meredith James,Shannon57@gmail.com,1800 Singh Centers Apt. 560,New South Wales,Australia,25,Female,Low,Regular,3/2/2023,2023,March,6,72.86,437.17,Clothing,Zara,Shirt,Good,Debit Card,Processing,3,Button-down shirt
8164996,12604,Derek Patrick,Lori70@gmail.com,0851 Frazier Isle,New South Wales,Australia,47,Male,Low,Regular,12/6/2023,2023,December,6,159.72,958.32,Grocery,Coca-Cola,Water,,Debit Card,Pending,2,Purified water
6573179,55594,Tara Hawkins,Melvin34@gmail.com,2856 Steven Crossroad Apt. 393,New South Wales,Australia,41,Male,Low,Regular,11/13/2023,2023,November,6,422.39,2534.32,Clothing,Adidas,Jacket,Excellent,Credit Card,Delivered,5,Puffer jacket
6650415,98788,Zachary Smith,Monica62@gmail.com,705 Hanna Loaf Apt. 029,New South Wales,Australia,29,Male,Medium,Regular,9/3/2023,2023,September,10,147.88,1478.85,Books,Penguin Books,Fiction,,Credit Card,Processing,2,Fantasy
3101006,59411,Daniel Thompson,Lori61@gmail.com,466 Sydney Turnpike Apt. 375,New South Wales,Australia,61,Male,Low,Regular,11/1/2023,2023,November,10,55.06,550.57,Electronics,Apple,Laptop,Average,Cash,Delivered,2,Microsoft Surface Laptop
3892971,67690,Mark Lee,Michael54@gmail.com,3688 Philip Landing Apt. 762,New South Wales,Australia,35,Female,Medium,Regular,4/4/2023,2023,April,1,426.65,426.65,Books,Penguin Books,Fiction,Excellent,Cash,Shipped,5,Adventure
1198092,96720,Robert Torres,Monica6@gmail.com,886 Thompson Island Apt. 302,New South Wales,Australia,59,Male,Medium,Regular,3/22/2023,2023,March,9,324.73,2922.54,Grocery,Nestle,Snacks,Good,Credit Card,Delivered,3,Popcorn
7978896,28489,Julia Dodson,Kaitlin36@gmail.com,4867 Bush Islands Suite 780,New South Wales,Australia,43,Male,Medium,Regular,12/7/2023,2023,December,3,199.82,599.47,Grocery,Nestle,Snacks,Excellent,Credit Card,Processing,5,Nuts
4615607,22945,Jessica Burke,John100@gmail.com,0888 Eric Ridge,New South Wales,Australia,26,Female,Medium,Regular,1/26/2024,2024,January,9,386.98,3482.86,Books,HarperCollins,Thriller,Excellent,Debit Card,Pending,5,Detective
6983938,15757,Mr. Evan Sutton,Jasmine27@gmail.com,576 Parrish Mountains Suite 562,New South Wales,Australia,35,Male,Medium,Regular,6/28/2023,2023,June,10,363.48,3634.81,Electronics,Sony,Smartphone,Average,PayPal,Delivered,2,iPhone
6314125,15983,Jamie Thompson,Michael25@gmail.com,48449 Cynthia Points Apt. 781,New South Wales,Australia,48,Male,Low,Regular,12/7/2023,2023,December,1,104.83,104.83,Electronics,Sony,Smartphone,Excellent,PayPal,Processing,4,LG G
1874788,74649,Courtney Perry,Tina32@gmail.com,571 Samuel Wall Apt. 895,New South Wales,Australia,18,Male,High,Regular,4/19/2023,2023,April,5,289.12,1445.58,Grocery,Nestle,Chocolate,Average,Debit Card,Delivered,2,Chocolate-covered fruits
2982163,50952,Teresa Maxwell,Daniel79@gmail.com,63725 Jessica Prairie,New South Wales,Australia,49,Female,Medium,Regular,3/5/2023,2023,March,3,427.59,1282.78,Clothing,,Shorts,Excellent,Cash,Pending,5,Chino shorts
5166565,51279,Roy Obrien,John3@gmail.com,253 Shea Manors,New South Wales,Australia,60,Male,Low,Regular,12/21/2023,2023,December,4,183.71,734.83,Grocery,Pepsi,Water,Good,PayPal,Processing,3,Distilled water
1685588,70655,Renee Banks,Cassandra10@gmail.com,1828 Andrea Isle,New South Wales,Australia,20,Male,Medium,Regular,8/25/2023,2023,August,4,466.22,1864.88,Books,Penguin Books,Fiction,Excellent,Credit Card,Processing,5,Literary fiction
3101821,93615,Linda Spencer DVM,Casey5@gmail.com,919 Williams River,New South Wales,Australia,35,Male,Low,Regular,3/8/2023,2023,March,6,106.48,638.9,Grocery,Pepsi,Soft Drink,Excellent,Debit Card,Processing,5,Grape soda
6113733,86785,Todd Hernandez,Randy87@gmail.com,428 Anthony Village Suite 371,New South Wales,Australia,33,Female,Medium,Regular,5/16/2023,2023,May,9,311.44,2803,Clothing,Zara,Shirt,Excellent,Debit Card,Shipped,5,T-shirt
1295338,94652,Elizabeth Fisher,Joseph95@gmail.com,3593 Allen Meadow Suite 449,New South Wales,Australia,19,Male,Medium,Regular,12/17/2023,2023,December,2,104.51,418.03,Books,Random House,Fiction,Excellent,Cash,Shipped,5,Literary fiction
3326402,67949,Martin Giles,Jonathan55@gmail.com,405 Robert Estate Apt. 428,New South Wales,Australia,54,Male,Medium,Regular,2/20/2024,2024,February,3,152.57,305.15,Grocery,Nestle,Snacks,Average,PayPal,Processing,2,Cheese snacks
9703915,38862,Nicholas Nelson,Anthony86@gmail.com,2422 Jackson Rapid Apt. 062,New South Wales,Australia,50,Female,Low,Regular,11/16/2023,2023,November,3,242.86,728.57,Grocery,Nestle,Chocolate,Excellent,Cash,Processing,5,Chocolate-covered fruits
1194954,13566,Maria Johnson,Marilyn60@gmail.com,9600 Lisa Viaduct Apt. 811,New South Wales,Australia,26,Female,Low,Regular,7/3/2023,2023,July,1,380.16,1140.47,Home Decor,Bed Bath & Beyond,Bathroom,Good,PayPal,Pending,3,Towel rack
8942113,72626,Daniel Morgan,Jacob10@gmail.com,67273 Michelle Well,Berlin,Germany,58,Male,Medium,Regular,1/25/2024,2024,January,1,377.61,377.61,Home Decor,Bed Bath & Beyond,Bedding,Average,Cash,Processing,2,Blanket
2729227,45610,Sarah Lewis,Dale68@gmail.com,7847 Susan Brook Apt. 282,Berlin,Germany,47,Female,Medium,Regular,7/10/2023,2023,July,9,212.3,212.3,Books,Random House,Literature,Average,Credit Card,Processing,2,Literary fiction
9193737,45455,Katherine Stuart,Megan75@gmail.com,9610 Adams Unions Apt. 748,Berlin,Germany,35,Female,Low,Regular,7/25/2023,2023,July,1,145.66,1310.93,Electronics,Sony,Smartphone,Average,Debit Card,Processing,2,iPhone
7260440,72079,Diana Thomas,Shane69@gmail.com,0741 Morales Estates Suite 639,Berlin,Germany,25,Male,Low,Regular,12/12/2023,2023,December,10,275.72,275.72,Home Decor,Home Depot,Furniture,Excellent,Debit Card,Shipped,5,Coffee table
6219631,26736,Danielle May,Darrell77@gmail.com,904 Lopez Haven Apt. 073,Berlin,Germany,67,Female,Medium,Regular,8/30/2023,2023,August,8,249.9,2498.99,Electronics,Samsung,Television,Good,PayPal,Shipped,4,OLED TV
8748941,77875,Monica Peterson,Frederick4@gmail.com,9126 Turner Trail Suite 364,Berlin,Germany,65,Male,Medium,Regular,1/14/2024,2024,January,3,221.54,1772.3,Electronics,Sony,Television,Good,PayPal,Shipped,3,HDR TV
7177238,95547,Sarah Li,Roger41@gmail.com,2488 Barry Lake,Berlin,Germany,30,Male,High,Regular,2/5/2024,2024,February,7,478.11,1912.44,Books,Random House,Non-Fiction,Good,Credit Card,Pending,4,Travel
6752816,50126,Brianna Murray,Anthony39@gmail.com,612 Marie Course Suite 432,Berlin,Germany,32,Female,Low,Regular,12/20/2023,2023,December,1,399.37,1198.12,Electronics,Apple,Smartphone,Excellent,PayPal,Processing,5,LG G
7018142,67530,Mathew Fitzgerald,Erik18@gmail.com,4169 Robert Lodge,Berlin,Germany,50,Male,Low,Regular,8/23/2023,2023,August,7,459.68,3217.78,Clothing,Adidas,T-shirt,Excellent,PayPal,Processing,4,Crew neck tee
